,donor_label
NN0003932-C3,1962
PGP1-C2,1647
LNGPI1-C1,997
KUCG3-C1,986
donor7,925
NCRM5-C5,901
doublet,867
KOLF2-ARID2-A02,851
NCRM1-C6,811
nan,322
unassigned,18
