,donor_label
NCRM5-C5,2334
NN0003932-C3,1551
PGP1-C2,991
donor7,898
LNGPI1-C1,793
KOLF2-ARID2-A02,780
doublet,746
KUCG3-C1,701
NCRM1-C6,665
nan,297
unassigned,13
