,donor_label
PGP1-C2,3161
NN0003932-C3,2004
doublet,1067
NCRM1-C6,1016
LNGPI1-C1,807
NCRM5-C5,774
KOLF2-ARID2-A02,666
nan,221
KUCG3-C1,179
unassigned,9
