,donor_label
PGP1-C2,3587
NN0003932-C3,2169
doublet,1149
NCRM1-C6,1089
LNGPI1-C1,879
NCRM5-C5,778
KOLF2-ARID2-A02,704
nan,246
KUCG3-C1,207
unassigned,8
