,donor_label
PGP1-C2,2848
NN0003932-C3,2238
KOLF2-ARID2-A02,1598
NCRM5-C5,1316
doublet,1206
LNGPI1-C1,969
NCRM1-C6,922
nan,423
KUCG3-C1,106
unassigned,4
